Protein	dim1
362663.ECP_1750	0
362663.ECP_3154	1
362663.ECP_0114	2
362663.ECP_3131	3
362663.ECP_0113	4
362663.ECP_2024	5
362663.ECP_2025	6
362663.ECP_1130	7
362663.ECP_1983	8
362663.ECP_1023	9
362663.ECP_1984	10
362663.ECP_1022	11
362663.ECP_1020	12
362663.ECP_1021	13
362663.ECP_1211	14
362663.ECP_3130	15
362663.ECP_3132	16
362663.ECP_1210	17
362663.ECP_4776	18
362663.ECP_1129	19
362663.ECP_0510	20
362663.ECP_4775	21
362663.ECP_3162	22
362663.ECP_1828	23
362663.ECP_4683	24
362663.ECP_1829	25
362663.ECP_0555	26
362663.ECP_0554	27
362663.ECP_1391	28
362663.ECP_0509	29
362663.ECP_2772	30
362663.ECP_2180	31
362663.ECP_2181	32
362663.ECP_1826	33
362663.ECP_1830	34
362663.ECP_1392	35
362663.ECP_1835	36
362663.ECP_1860	37
362663.ECP_1833	38
362663.ECP_2395	39
362663.ECP_1827	40
362663.ECP_1831	41
362663.ECP_1834	42
362663.ECP_0259	43
362663.ECP_1836	44
362663.ECP_1824	45
362663.ECP_0258	46
362663.ECP_1883	47
362663.ECP_1832	48
362663.ECP_1858	49
362663.ECP_1065	50
362663.ECP_1879	51
362663.ECP_1073	52
362663.ECP_1872	53
362663.ECP_1072	54
362663.ECP_1064	55
362663.ECP_2773	56
362663.ECP_1854	57
362663.ECP_1881	58
362663.ECP_1876	59
362663.ECP_1075	60
362663.ECP_1074	61
362663.ECP_1066	62
362663.ECP_1070	63
362663.ECP_1880	64
362663.ECP_1882	65
362663.ECP_1069	66
362663.ECP_1874	67
362663.ECP_1062	68
362663.ECP_1063	69
362663.ECP_1878	70
362663.ECP_1068	71
362663.ECP_1871	72
362663.ECP_1877	73
362663.ECP_1071	74
362663.ECP_1067	75
362663.ECP_1859	76
362663.ECP_1855	77
362663.ECP_1857	78
362663.ECP_3588	79
362663.ECP_2923	80
362663.ECP_0338	81
362663.ECP_2922	82
362663.ECP_3298	83
362663.ECP_2671	84
362663.ECP_1478	85
362663.ECP_4787	86
362663.ECP_2394	87
362663.ECP_2670	88
362663.ECP_0337	89
362663.ECP_1479	90
362663.ECP_3587	91
362663.ECP_1823	92
362663.ECP_1142	93
362663.ECP_1884	94
362663.ECP_1873	95
362663.ECP_1825	96
362663.ECP_1875	97
362663.ECP_3172	98
362663.ECP_2147	99
362663.ECP_1141	100
362663.ECP_1140	101
362663.ECP_1282	102
362663.ECP_2693	103
362663.ECP_2672	104
362663.ECP_2691	105
362663.ECP_2690	106
362663.ECP_2692	107
362663.ECP_3077	108
362663.ECP_3081	109
362663.ECP_3082	110
362663.ECP_3076	111
362663.ECP_3814	112
362663.ECP_2689	113
362663.ECP_4578	114
362663.ECP_2740	115
362663.ECP_2741	116
362663.ECP_2148	117
362663.ECP_3775	118
